time_s,x,y,z,yaw_deg,speed_ms
10.6871,-1.6610,0.3426,-16.0715,-73.7332,20.0000
10.7706,-3.2632,0.3427,-15.6040,-73.7332,20.0000
10.8540,-4.8656,0.3426,-15.1365,-73.7332,20.0000
10.9370,-6.4793,0.3426,-14.7530,-80.7004,20.0000
11.0203,-8.1379,0.3426,-14.6090,-85.8971,20.0000
11.1038,-9.8044,0.3426,-14.4895,-85.8971,20.0000
11.1868,-11.4595,0.3426,-14.3708,-85.8971,20.0000
11.2700,-13.1176,0.3427,-14.2268,-82.4309,20.0000
11.3535,-14.7446,0.3427,-13.8559,-75.3973,20.0000
11.4373,-16.3665,0.3426,-13.4334,-75.3973,20.0000
11.5207,-17.9399,0.3426,-12.8903,-66.5812,20.0000
11.6034,-19.4187,0.3426,-12.1498,-63.1104,20.0000
11.6870,-20.8979,0.3426,-11.3714,-59.6255,20.0000
11.7703,-22.2359,0.3426,-10.3813,-49.1205,20.0000
11.8533,-23.3673,0.3426,-9.1685,-38.6530,20.0000
11.9371,-24.2661,0.3426,-7.7572,-28.0930,20.0000
12.0206,-24.8893,0.3426,-6.2116,-17.5755,20.0000
12.1104,-25.2301,0.3426,-4.4499,-6.2482,20.0000
12.2080,-25.2019,0.3426,-2.5330,5.8562,18.4401
12.2911,-24.9755,0.3426,-1.2924,12.6907,13.0962
12.3741,-24.7545,0.3427,-0.3111,12.6907,11.4376
12.4579,-24.5618,0.3426,0.5446,12.6907,9.7604
12.5413,-24.4009,0.3426,1.2591,12.6907,8.0936
12.6244,-24.2708,0.3426,1.8368,12.6907,6.4310
12.7149,-24.1636,0.3426,2.3130,12.6907,4.6203
12.7979,-24.0970,0.3426,2.6087,12.6907,2.9606
12.9644,-24.0306,0.3426,2.9037,12.6907,1.2746
13.2151,-23.9811,0.3426,3.1234,12.6907,1.3540
13.3815,-23.8878,0.3426,3.5487,11.5030,3.6842
13.4648,-23.8237,0.3426,3.9063,9.2127,4.8499
13.5486,-23.7592,0.3426,4.3240,8.7801,4.5684
13.6315,-23.7115,0.3426,4.6323,8.7801,3.2475
13.7142,-23.6778,0.3426,4.8510,8.7801,2.3108
13.8884,-23.6352,0.3426,5.1269,8.7801,1.1286
14.2293,-23.6045,0.3426,5.3256,8.7801,0.2776
