time_s,x,y,z,yaw_deg,speed_ms
3.9379,77.8876,0.3426,-4.2330,-212.3938,20.0000
4.0284,78.6756,0.3426,-5.8601,-200.9819,20.0000
4.1117,79.2721,0.3426,-7.4157,-200.9819,20.0000
4.1945,79.8650,0.3426,-8.9616,-200.9819,20.0000
4.2781,80.3825,0.3426,-10.5490,-193.9611,20.0000
4.3613,80.6350,0.3426,-12.1946,-186.9811,20.0000
4.4483,80.8464,0.3426,-13.9208,-186.9811,20.0000
4.5422,80.9468,0.3426,-15.7935,-178.1973,20.0000
4.6251,80.7196,0.3426,-17.4324,-167.7557,20.0000
4.7086,80.2334,0.3427,-19.0292,-158.9874,20.0000
4.7917,79.4766,0.3427,-20.5065,-148.5120,20.0000
4.8757,78.4824,0.3426,-21.8590,-142.3678,20.0000
4.9589,77.3992,0.3426,-23.1216,-135.2770,20.0000
5.0418,76.1171,0.3427,-24.1691,-124.8293,20.0000
5.1256,74.6498,0.3426,-24.9715,-114.2747,20.0000
5.2093,73.0615,0.3426,-25.4934,-103.7233,20.0000
5.2987,71.3122,0.3426,-25.8697,-102.0817,20.0000
5.3824,69.6768,0.3426,-26.2198,-102.0817,20.0000
5.4654,68.0520,0.3426,-26.5675,-102.0817,20.0000
5.5488,66.4030,0.3426,-26.7934,-93.4241,20.0000
5.6390,64.6015,0.3426,-26.7207,-85.5149,20.0000
5.7226,62.9335,0.3427,-26.5899,-85.5149,20.0000
5.8055,61.3072,0.3427,-26.2862,-75.0735,20.0000
5.8892,59.7428,0.3426,-25.6919,-66.2439,20.0000
5.9796,58.0885,0.3759,-24.9638,-66.2439,20.0000
6.0629,56.5641,0.3426,-24.2928,-66.2439,20.0000
6.1455,55.0511,0.3426,-23.6269,-66.2439,20.0000
6.2294,53.5169,0.3426,-22.9516,-66.2439,20.0000
6.3130,51.9856,0.3426,-22.2776,-66.2439,20.0000
6.3964,50.4595,0.3426,-21.6060,-66.2439,20.0000
6.4797,48.9342,0.3426,-20.9346,-66.2439,20.0000
6.5629,47.4113,0.3426,-20.2643,-66.2439,20.0000
6.6464,45.8822,0.3426,-19.5913,-66.2439,20.0000
6.7307,44.3403,0.3426,-18.9127,-66.2439,20.0000
6.8130,42.8321,0.3426,-18.2489,-66.2439,20.0000
6.9028,41.1889,0.3426,-17.5256,-66.2439,20.0000
6.9866,39.6550,0.3427,-16.8505,-66.2439,20.0000
7.0696,38.0746,0.3427,-16.3476,-76.7107,20.0000
7.1526,36.4591,0.3427,-15.9660,-76.7107,20.0000
7.2364,34.8281,0.3426,-15.5808,-76.7107,20.0000
7.3197,33.2076,0.3427,-15.1981,-76.7107,20.0000
7.4029,31.5884,0.3426,-14.8156,-76.7107,20.0000
7.4938,29.8194,0.3426,-14.3978,-76.7107,20.0000
7.5773,28.1943,0.3426,-14.0140,-76.7107,20.0000
7.6601,26.5525,0.3426,-13.8067,-87.1545,20.0000
7.7436,24.8840,0.3426,-13.8520,-92.4395,20.0000
7.8266,23.2249,0.3426,-13.9226,-92.4395,20.0000
7.9101,21.5576,0.3426,-13.9937,-92.4395,20.0000
8.0001,19.7582,0.3426,-14.0703,-92.4395,20.0000
8.0834,18.0943,0.3426,-14.1412,-92.4395,20.0000
8.1668,16.4274,0.3426,-14.2122,-92.4395,20.0000
8.2513,14.7394,0.3426,-14.2841,-92.4395,20.0000
8.3401,12.9746,0.3427,-14.4908,-97.6063,20.0000
8.4237,11.3184,0.3426,-14.7120,-97.6063,20.0000
8.5073,9.6604,0.3426,-14.9334,-97.6063,20.0000
8.5908,8.0049,0.3426,-15.1545,-97.6063,20.0000
8.6813,6.2106,0.3426,-15.3784,-94.8965,20.0000
8.7710,4.4170,0.3426,-15.4111,-90.5051,20.0000
8.8544,2.7479,0.3426,-15.4258,-90.5051,20.0000
8.9445,0.9550,0.3426,-15.2787,-81.8402,20.0000
9.0287,-0.7127,0.3426,-15.0395,-81.8402,20.0000
9.1183,-2.4851,0.3426,-14.7854,-81.8402,20.0000
9.2085,-4.2720,0.3426,-14.5292,-81.8402,20.0000
9.2923,-5.9306,0.3426,-14.2914,-81.8402,20.0000
9.3822,-7.7108,0.3426,-14.0361,-81.8402,20.0000
9.4654,-9.3575,0.3426,-13.8000,-81.8402,20.0000
9.5563,-11.1579,0.3427,-13.5419,-81.8402,20.0000
9.6392,-12.7977,0.3427,-13.3067,-81.8402,20.0000
9.7226,-14.4411,0.3426,-13.0194,-76.5737,20.0000
9.8058,-16.0071,0.3427,-12.4635,-66.0864,20.0000
9.8893,-17.4502,0.3426,-11.6286,-55.5646,20.0000
9.9721,-18.7066,0.3426,-10.5547,-45.1338,20.0000
10.0557,-19.8536,0.3426,-9.3366,-43.2800,20.0000
10.1393,-20.9990,0.3426,-8.1203,-43.2800,20.0000
10.2226,-22.1416,0.3568,-6.9070,-43.2800,20.0000
10.3133,-23.3569,0.3759,-5.5610,-38.7978,20.0000
10.3964,-24.2530,0.3427,-4.1647,-28.3270,20.0000
10.4796,-24.8811,0.3427,-2.6263,-17.8397,20.0000
10.5625,-25.2181,0.3426,-1.0051,-7.3900,20.0000
10.6464,-25.3042,0.3426,0.6704,-2.0387,20.0000
10.7294,-25.3633,0.3427,2.3301,-2.0387,20.0000
10.8195,-25.4274,0.3427,4.1311,-2.0387,20.0000
10.9024,-25.5677,0.3426,5.7807,-8.9100,20.0000
10.9867,-25.9984,0.3426,7.4099,-17.7321,20.0000
11.0695,-26.5027,0.3426,8.9870,-17.7321,20.0000
11.1530,-27.0112,0.3427,10.5776,-17.7321,20.0000
11.2364,-27.6852,0.3427,12.1009,-28.2453,20.0000
11.3265,-28.7111,0.3426,13.5788,-39.6018,20.0000
11.4102,-29.9086,0.3426,14.7451,-50.1517,20.0000
11.4937,-31.2904,0.3427,15.6780,-58.8522,20.0000
11.5770,-32.7167,0.3426,16.5401,-58.8522,20.0000
11.6606,-34.1474,0.3426,17.4048,-58.8522,20.0000
11.7431,-35.5856,0.3426,18.2147,-64.0991,20.0000
11.8265,-37.1444,0.3426,18.8013,-71.1508,20.0000
11.9124,-38.7710,0.3426,19.3566,-71.1508,20.0000
11.9935,-40.3066,0.3426,19.8808,-71.1508,20.0000
12.0770,-41.9195,0.3426,20.2984,-79.8650,20.0000
12.1602,-43.5579,0.3426,20.5913,-79.8650,20.0000
12.2506,-45.3392,0.3426,20.9006,-81.6696,20.0000
12.3335,-46.9938,0.3426,20.9651,-92.1199,20.0000
12.4174,-48.6702,0.3426,20.9030,-92.1199,20.0000
12.5019,-50.3589,0.3426,20.8405,-92.1199,20.0000
12.5907,-52.1354,0.3427,20.7748,-92.1199,20.0000
12.6741,-53.8004,0.3426,20.7132,-92.1199,20.0000
12.7586,-55.4895,0.3426,20.6506,-92.1199,20.0000
12.8406,-57.1301,0.3426,20.5899,-92.1199,20.0000
12.9241,-58.7981,0.3426,20.5282,-92.1199,20.0000
13.0076,-60.4660,0.3427,20.4664,-92.1199,20.0000
13.0908,-62.1294,0.3426,20.4049,-92.1199,20.0000
13.1738,-63.7881,0.3426,20.3435,-92.1199,20.0000
13.2572,-65.4558,0.3426,20.2817,-92.1199,20.0000
13.3407,-67.1245,0.3426,20.2200,-92.1199,20.0000
13.4241,-68.7913,0.3426,20.1583,-92.1199,20.0000
13.5077,-70.4618,0.3426,20.0964,-92.1199,20.0000
13.5908,-72.1224,0.3426,20.0350,-92.1199,20.0000
13.6736,-73.7774,0.3426,19.9737,-92.1199,20.0000
13.7646,-75.5974,0.3426,19.9064,-92.1199,20.0000
13.8477,-77.2506,0.3426,19.7604,-99.1223,20.0000
13.9313,-78.8612,0.3426,19.3207,-109.6589,20.0000
14.0143,-80.3544,0.3426,18.5999,-120.1234,20.0000
14.0976,-81.6952,0.3427,17.6170,-130.6153,20.0000
14.1814,-82.8425,0.3426,16.3960,-141.1895,20.0000
14.2647,-83.7407,0.3426,14.9962,-151.6866,20.0000
14.3474,-84.3658,0.3759,13.4667,-162.1139,20.0000
14.4308,-84.7052,0.3572,11.8360,-172.6263,20.0000
14.5145,-84.7408,0.3426,10.1651,-183.1738,20.0000
14.5981,-84.4729,0.3427,8.5182,-193.7038,20.0000
14.6810,-83.9115,0.3427,6.9592,-204.1612,20.0000
14.7643,-83.0727,0.3426,5.5233,-214.6559,20.0000
14.8476,-81.9854,0.3426,4.2629,-225.1616,20.0000
14.9311,-80.6841,0.3426,3.2204,-235.6848,20.0000
15.0144,-79.2178,0.3426,2.4345,-246.1840,20.0000
15.1046,-77.4991,0.3426,1.8995,-257.5477,20.0000
15.1880,-75.8430,0.3426,1.7162,-268.0634,20.0000
15.2715,-74.1784,0.3426,1.8386,-278.5970,20.0000
15.3548,-72.5703,0.3426,2.2611,-289.0908,20.0000
15.4374,-71.0724,0.3427,2.9559,-297.7827,20.0000
15.5213,-69.5887,0.3426,3.7375,-297.7827,20.0000
15.6043,-68.1206,0.3426,4.5110,-297.7827,20.0000
15.6882,-66.5818,0.3426,5.1770,-288.9934,20.0000
15.7708,-64.9841,0.3426,5.5947,-283.7853,20.0000
15.8543,-63.3624,0.3427,5.9926,-283.7853,20.0000
15.9449,-61.5835,0.3427,6.3229,-275.9396,20.0000
16.0283,-59.9231,0.3426,6.4957,-275.9396,20.0000
16.1129,-58.2409,0.3426,6.6707,-275.9396,20.0000
16.1951,-56.6065,0.3426,6.8407,-275.9396,20.0000
16.2779,-54.9587,0.3427,7.0121,-275.9396,20.0000
16.3615,-53.3383,0.3426,7.1088,-270.8546,18.9796
16.4448,-51.7988,0.3426,7.0403,-265.0247,18.1778
16.5286,-50.2693,0.3426,6.7690,-255.8563,19.0462
16.6120,-48.7304,0.3426,6.2034,-245.5091,20.0000
16.6954,-47.2968,0.3426,5.3546,-234.9947,20.0000
16.7785,-46.0476,0.3426,4.2645,-224.5307,20.0000
16.8614,-45.0178,0.3427,2.9665,-214.0740,20.0000
16.9453,-44.2337,0.3427,1.4860,-203.5007,20.0000
17.0286,-43.7369,0.3426,-0.1014,-193.0034,20.0000
17.1123,-43.5376,0.3426,-1.7609,-182.4541,20.0000
17.1948,-43.6414,0.3426,-3.4051,-172.0568,20.0000
17.2782,-44.0470,0.3426,-5.0223,-161.5346,20.0000
17.3617,-44.7414,0.3427,-6.5385,-151.0097,20.0000
17.4453,-45.7017,0.3426,-7.9032,-140.4779,20.0000
17.5300,-46.9132,0.3426,-9.0833,-129.8037,20.0000
17.6116,-48.2675,0.3426,-9.9900,-119.5183,20.0000
17.6952,-49.8014,0.3426,-10.6527,-108.9722,20.0000
17.7786,-51.4245,0.3426,-11.0227,-98.4663,20.0000
17.8617,-53.0834,0.3427,-11.0909,-87.9874,20.0000
17.9450,-54.7299,0.3426,-10.8555,-77.4905,20.0000
18.0282,-56.3422,0.3427,-10.4441,-75.6852,20.0000
18.1114,-57.9554,0.3426,-10.0324,-75.6852,20.0000
18.1950,-59.5751,0.3427,-9.6191,-75.6852,20.0000
18.2781,-61.1851,0.3426,-9.2083,-75.6852,20.0000
18.3687,-62.9420,0.3426,-8.7600,-75.6852,20.0000
18.4521,-64.5577,0.3427,-8.3477,-75.6852,20.0000
18.5352,-66.1675,0.3426,-7.9370,-75.6852,20.0000
18.6184,-67.7794,0.3426,-7.5257,-75.6852,20.0000
18.7019,-69.4148,0.3426,-7.1948,-82.6466,20.0000
18.7857,-71.0897,0.3427,-7.1337,-89.6506,20.0000
18.8691,-72.7565,0.3427,-7.1235,-89.6506,20.0000
18.9520,-74.4047,0.3426,-7.2895,-100.1049,20.0000
19.0350,-75.9999,0.3426,-7.7448,-108.8620,20.0000
19.1184,-77.5781,0.3426,-8.2840,-108.8620,20.0000
19.2015,-79.1194,0.3426,-8.8992,-115.8285,20.0000
19.2864,-80.5563,0.3426,-9.7997,-126.5314,20.0000
19.3687,-81.7667,0.3426,-10.9126,-136.9084,20.0000
19.4591,-82.8379,0.3426,-12.3651,-148.3030,20.0000
19.5416,-83.5503,0.3427,-13.8499,-158.6962,20.0000
19.6252,-83.9869,0.3426,-15.4614,-169.2327,20.0000
19.7087,-84.1214,0.3427,-17.1246,-179.7639,20.0000
19.7921,-83.9523,0.3426,-18.7811,-190.2737,20.0000
19.8759,-83.4785,0.3426,-20.3869,-200.8402,20.0000
19.9586,-82.7309,0.3426,-21.8591,-211.2600,20.0000
20.0422,-81.7160,0.3427,-23.1850,-221.7977,20.0000
20.1256,-80.4783,0.3426,-24.3020,-232.3201,20.0000
20.2086,-79.0664,0.3426,-25.1698,-242.7789,20.0000
20.2925,-77.5022,0.3426,-25.7718,-253.3572,20.0000
20.3757,-75.8796,0.3426,-26.0830,-262.4888,19.5284
20.4585,-74.3156,0.3426,-26.1950,-268.4206,18.5857
20.5424,-72.7031,0.3426,-26.0797,-276.9276,19.7612
20.6256,-71.0532,0.3426,-25.8792,-276.9276,20.0000
20.7088,-69.4018,0.3427,-25.6786,-276.9276,20.0000
20.7920,-67.7484,0.3427,-25.4777,-276.9276,20.0000
20.8756,-66.0893,0.3426,-25.2761,-276.9276,20.0000
20.9591,-64.4305,0.3426,-25.0746,-276.9276,20.0000
21.0425,-62.7748,0.3426,-24.8734,-276.9276,20.0000
21.1256,-61.1255,0.3426,-24.6730,-276.9276,20.0000
21.2091,-59.4684,0.3426,-24.4717,-276.9276,20.0000
21.2987,-57.6893,0.3426,-24.2555,-276.9276,20.0000
21.3896,-55.8836,0.3427,-24.0361,-276.9276,20.0000
21.4724,-54.2399,0.3426,-23.8364,-276.9276,20.0000
21.5628,-52.4361,0.3426,-23.7594,-269.1108,20.0000
21.6469,-50.7547,0.3426,-23.7855,-269.1108,20.0000
21.7296,-49.1005,0.3426,-23.8112,-269.1108,20.0000
21.8144,-47.4053,0.3426,-23.8375,-269.1108,20.0000
21.8962,-45.7699,0.3426,-23.8629,-269.1108,20.0000
21.9798,-44.0964,0.3427,-23.8888,-269.1108,20.0000
22.0625,-42.4426,0.3426,-23.9145,-269.1108,20.0000
22.1465,-40.7627,0.3426,-23.9406,-269.1108,20.0000
22.2299,-39.0962,0.3426,-23.9664,-269.1108,20.0000
22.3129,-37.4363,0.3426,-23.9922,-269.1108,20.0000
22.3964,-35.7660,0.3426,-24.0181,-269.1108,20.0000
22.4797,-34.1015,0.3427,-24.0440,-269.1108,20.0000
22.5626,-32.4427,0.3426,-24.0697,-269.1108,20.0000
22.6470,-30.7557,0.3427,-24.0959,-269.1108,20.0000
22.7297,-29.1011,0.3426,-24.1216,-269.1108,20.0000
22.8130,-27.4345,0.3427,-24.1474,-269.1108,20.0000
22.9036,-25.6233,0.3426,-24.1756,-269.1108,20.0000
22.9868,-23.9588,0.3426,-24.2014,-269.1108,20.0000
23.0701,-22.2934,0.3426,-24.2272,-269.1108,20.0000
23.1553,-20.5905,0.3426,-24.2537,-269.1108,20.0000
23.2365,-18.9667,0.3427,-24.2789,-269.1108,20.0000
23.3197,-17.3022,0.3427,-24.3047,-269.1108,20.0000
23.4032,-15.6359,0.3426,-24.3811,-263.8781,20.0000
23.4866,-13.9822,0.3426,-24.6102,-262.1137,20.0000
23.5695,-12.3410,0.3426,-24.8375,-262.1137,20.0000
23.6532,-10.6817,0.3427,-25.0673,-262.1137,20.0000
23.7366,-9.0297,0.3427,-25.2962,-262.1137,20.0000
23.8198,-7.3830,0.3426,-25.5242,-262.1137,20.0000
23.9035,-5.7232,0.3427,-25.7542,-262.1137,20.0000
23.9863,-4.0834,0.3426,-25.9813,-262.1137,20.0000
24.0696,-2.4337,0.3426,-26.2098,-262.1137,20.0000
24.1533,-0.7751,0.3426,-26.4396,-262.1137,20.0000
24.2360,0.8626,0.3426,-26.6664,-262.1137,20.0000
24.3200,2.5279,0.3427,-26.8971,-262.1137,20.0000
24.4033,4.1785,0.3426,-27.1257,-262.1137,20.0000
24.4866,5.8279,0.3426,-27.3542,-262.1137,20.0000
24.5696,7.4474,0.3426,-27.7050,-253.4207,20.0000
24.6531,9.0334,0.3427,-28.2313,-251.6428,20.0000
24.7366,10.6173,0.3427,-28.7569,-251.6428,20.0000
24.8273,12.3403,0.3426,-29.3286,-251.6428,20.0000
24.9104,13.9169,0.3426,-29.8518,-251.6428,20.0000
24.9935,15.4949,0.3427,-30.3754,-251.6428,20.0000
25.0771,17.0806,0.3427,-30.9016,-251.6428,20.0000
25.1601,18.6564,0.3426,-31.4245,-251.6428,20.0000
25.2505,20.3730,0.3426,-31.9941,-251.6428,20.0000
25.3342,21.9617,0.3426,-32.5213,-251.6428,20.0000
25.4169,23.5134,0.3426,-33.0885,-246.4501,20.0000
25.5006,24.9710,0.3427,-33.9104,-237.6506,20.0000
25.5842,26.3826,0.3426,-34.8045,-237.6506,20.0000
25.6672,27.7865,0.3759,-35.6937,-237.6506,20.0000
25.7503,29.1893,0.3759,-36.5822,-237.6506,20.0000
25.8344,30.6112,0.3460,-37.4828,-237.6506,20.0000
25.9172,31.9807,0.3426,-38.4094,-232.4441,20.0000
26.0003,33.2392,0.3426,-39.4954,-228.9098,20.0000
26.0835,34.4933,0.3426,-40.5891,-228.9098,20.0000
26.1686,35.7772,0.3426,-41.7087,-228.9098,20.0000
26.2506,37.0126,0.3426,-42.7860,-228.9098,20.0000
26.3407,38.4631,0.3426,-43.8509,-238.5567,20.0000
26.4242,39.9139,0.3426,-44.6776,-240.3250,20.0000
26.5076,41.3623,0.3426,-45.5029,-240.3250,20.0000
26.5911,42.8137,0.3427,-46.3299,-240.3250,20.0000
26.6743,44.2593,0.3426,-47.1536,-240.3250,20.0000
26.7576,45.7075,0.3426,-47.9788,-240.3250,20.0000
26.8410,47.2248,0.3426,-48.6671,-247.3709,20.0000
26.9242,48.7618,0.3426,-49.3078,-247.3709,20.0000
27.0072,50.3104,0.3426,-49.8988,-252.5976,20.0000
27.0905,51.9272,0.3426,-50.3062,-256.1579,20.0000
27.1741,53.5504,0.3426,-50.7062,-256.1579,20.0000
27.2581,55.2118,0.3426,-50.9298,-266.7385,20.0000
27.3411,56.8724,0.3426,-50.9334,-270.1557,20.0000
27.4242,58.5351,0.3426,-50.9289,-270.1557,20.0000
27.5076,60.1958,0.3426,-50.7950,-278.9899,20.0000
27.5906,61.8261,0.3427,-50.4858,-280.7416,20.0000
27.6743,63.4698,0.3427,-50.1740,-280.7416,20.0000
27.7573,65.0596,0.3426,-49.7011,-289.4854,20.0000
27.8410,66.6388,0.3427,-49.1424,-289.4854,20.0000
27.9242,68.2073,0.3426,-48.5874,-289.4854,20.0000
28.0078,69.7823,0.3426,-48.0301,-289.4854,20.0000
28.0908,71.3488,0.3426,-47.4759,-289.4854,20.0000
28.1738,72.9133,0.3426,-46.9223,-289.4854,20.0000
28.2574,74.4713,0.3426,-46.3179,-294.6921,20.0000
28.3409,75.9295,0.3426,-45.5064,-299.9852,20.0000
28.4237,77.3640,0.3426,-44.6786,-299.9852,20.0000
28.5077,78.8200,0.3426,-43.8386,-299.9852,20.0000
28.5907,80.2566,0.3426,-43.0096,-299.9852,20.0000
28.6742,81.6907,0.3426,-42.1532,-303.4582,20.0000
28.7577,82.9810,0.3426,-41.0969,-312.2334,20.0000
28.8406,84.2095,0.3426,-39.9817,-312.2334,20.0000
28.9242,85.4115,0.3427,-38.8214,-317.4982,20.0000
29.0075,86.4190,0.3426,-37.4965,-324.5049,20.0000
29.0907,87.3857,0.3426,-36.1410,-324.5049,20.0000
29.1743,88.3559,0.3426,-34.7805,-324.5049,20.0000
29.2575,89.3224,0.3426,-33.4252,-324.5049,20.0000
29.3412,90.2939,0.3426,-32.0630,-324.5049,20.0000
29.4236,91.2094,0.3426,-30.6946,-329.6693,20.0000
29.5076,91.8964,0.3427,-29.1622,-340.2677,20.0000
29.5913,92.3557,0.3426,-27.5541,-344.7491,20.0000
29.6815,92.8303,0.3427,-25.8136,-344.7491,20.0000
29.7644,93.2664,0.3427,-24.2138,-344.7491,20.0000
29.8545,93.7406,0.3426,-22.4746,-344.7491,20.0000
29.9445,94.2138,0.3427,-20.7392,-344.7491,20.0000
30.0355,94.6928,0.3426,-18.9824,-344.7491,20.0000
30.1184,95.1290,0.3426,-17.3825,-344.7491,20.0000
30.2025,95.5713,0.3426,-15.7601,-344.7491,20.0000
30.2924,96.0363,0.3426,-14.0235,-346.4737,20.0000
30.3762,96.2561,0.3426,-12.3629,-356.0202,20.0000
30.4588,96.3707,0.3426,-10.7166,-356.0202,20.0000
30.5490,96.4959,0.3426,-8.9162,-356.0202,20.0000
30.6325,96.6119,0.3426,-7.2499,-356.0202,20.0000
30.7160,96.7277,0.3426,-5.5852,-356.0202,20.0000
30.7992,96.8432,0.3426,-3.9246,-356.0202,20.0000
30.8822,96.9584,0.3426,-2.2688,-356.0202,20.0000
30.9660,97.0664,0.3426,-0.5964,-357.7564,20.0000
31.0496,96.9527,0.3426,1.0697,-368.2960,20.0000
31.1400,96.4904,0.3426,2.8146,-379.6917,20.0000
31.2223,95.8886,0.3427,4.3466,-381.4421,20.0000
31.3130,95.2251,0.3426,6.0361,-381.4421,20.0000
31.3967,94.6134,0.3426,7.5935,-381.4421,20.0000
31.4793,94.0093,0.3759,9.1318,-381.4421,20.0000
31.5628,93.3218,0.3591,10.6516,-388.4268,20.0000
31.6466,92.3717,0.3708,12.0295,-398.9895,20.0000
31.7301,91.1900,0.3426,13.2059,-409.5129,20.0000
31.8134,89.8173,0.3427,14.1445,-420.0082,20.0000
31.8966,88.3764,0.3426,14.9762,-420.0082,20.0000
31.9799,86.9332,0.3427,15.8091,-420.0082,20.0000
32.0630,85.4810,0.3426,16.6174,-423.5375,20.0000
32.1467,83.9129,0.3426,17.1976,-434.0899,20.0000
32.2297,82.2874,0.3426,17.5298,-439.3258,20.0000
32.3135,80.6398,0.3426,17.8403,-439.3258,20.0000
32.3965,78.9966,0.3721,18.0652,-446.2702,20.0000
32.4810,77.3080,0.3759,18.0461,-451.5066,20.0000
32.5698,75.5325,0.3493,17.9994,-451.5066,20.0000
32.6603,73.7236,0.3696,17.9518,-451.5066,20.0000
32.7503,71.9245,0.3759,17.9045,-451.5066,20.0000
32.8367,70.1965,0.3759,17.8591,-451.5066,20.0000
32.9237,68.4574,0.3724,17.8133,-451.5066,20.0000
33.0146,66.6394,0.3426,17.7655,-451.5066,20.0000
33.0983,64.9707,0.3427,17.8857,-442.8148,20.0000
33.1815,63.3200,0.3427,18.0938,-442.8148,20.0000
33.2648,61.6679,0.3426,18.3020,-442.8148,20.0000
33.3475,60.0270,0.3426,18.5089,-442.8148,20.0000
33.4311,58.3684,0.3426,18.7180,-442.8148,20.0000
33.5147,56.7098,0.3427,18.9271,-442.8148,20.0000
33.5975,55.0660,0.3426,19.1343,-442.8148,20.0000
33.6808,53.4136,0.3427,19.3426,-442.8148,20.0000
33.7712,51.6199,0.3426,19.5688,-442.8148,20.0000
33.8545,49.9572,0.3426,19.6538,-451.5167,20.0000
33.9381,48.2884,0.3426,19.5575,-453.3022,20.0000
34.0210,46.6337,0.3427,19.4620,-453.3022,20.0000
34.1045,44.9657,0.3426,19.3658,-453.3022,20.0000
34.1877,43.3046,0.3426,19.2699,-453.3022,20.0000
34.2715,41.6321,0.3426,19.1734,-453.3022,20.0000
34.3546,39.9719,0.3426,19.0776,-453.3022,20.0000
34.4454,38.1586,0.3427,18.9730,-453.3022,20.0000
34.5286,36.4981,0.3426,18.9949,-446.2291,20.0000
34.6118,34.8373,0.3426,19.1044,-446.2291,20.0000
34.6952,33.1729,0.3426,19.2141,-446.2291,20.0000
34.7787,31.5055,0.3426,19.3240,-446.2291,20.0000
34.8686,29.7115,0.3426,19.4422,-446.2291,20.0000
34.9517,28.0690,0.3426,19.6776,-437.4828,20.0000
35.0351,26.4405,0.3427,20.0391,-437.4828,20.0000
35.1187,24.8079,0.3427,20.4016,-437.4828,20.0000
35.2089,23.0306,0.3426,20.6909,-445.3217,20.0000
35.2918,21.3740,0.3427,20.7771,-447.0211,20.0000
35.3757,19.6980,0.3426,20.8644,-447.0211,20.0000
35.4588,18.0383,0.3426,20.9507,-447.0211,20.0000
35.5426,16.3794,0.3427,21.1661,-438.2055,20.0000
35.6256,14.7539,0.3426,21.5055,-438.2055,20.0000
35.7090,13.1222,0.3426,21.8462,-438.2055,20.0000
35.7924,11.4879,0.3426,22.1875,-438.2055,20.0000
35.8758,9.8549,0.3426,22.5285,-438.2055,20.0000
35.9594,8.2058,0.3426,22.7847,-445.2719,20.0000
36.0424,6.5470,0.3427,22.7540,-453.9143,20.0000
36.1256,4.8876,0.3426,22.6404,-453.9143,20.0000
36.2096,3.2120,0.3427,22.5258,-453.9143,20.0000
36.2926,1.5797,0.3426,22.2374,-464.3754,20.0000
36.3756,0.0250,0.3426,21.6564,-474.8497,20.0000
36.4588,-1.3997,0.3427,20.8015,-485.3352,20.0000
36.5425,-2.6519,0.3426,19.6940,-495.8860,20.0000
36.6255,-3.7400,0.3426,18.4415,-499.2978,20.0000
36.7093,-4.8128,0.3426,17.1554,-502.7926,20.0000
36.7924,-5.6707,0.3759,15.7328,-513.2769,20.0000
36.8756,-6.2552,0.3426,14.1783,-523.7582,20.0000
36.9591,-6.5477,0.3426,12.5368,-534.2809,20.0000
37.0425,-6.5356,0.3426,10.8702,-544.7999,20.0000
37.1255,-6.2221,0.3426,9.2428,-555.2593,20.0000
37.2088,-5.6158,0.3426,7.6942,-565.7548,20.0000
37.2923,-4.7342,0.3426,6.2777,-576.2844,20.0000
37.3753,-3.6164,0.3426,5.0531,-586.7480,20.0000
37.4586,-2.2892,0.3426,4.0485,-597.2534,20.0000
37.5495,-0.6616,0.3427,3.2485,-608.7028,20.0000
37.6326,0.9049,0.3427,2.6903,-610.3857,20.0000
37.7161,2.4772,0.3426,2.1300,-610.3857,20.0000
37.7992,4.0584,0.3426,1.6192,-615.5759,20.0000
37.8866,5.7833,0.3426,1.3434,-622.5892,20.0000
